190704	205323	622603	19.437953	0.029160	49.705352	0.087933	011	61.205357	97.900595	14.340121	152.454099	162.197147	6432.98	1604.75	2.737	0.077	16
0876	04	06.40633	06.34138	04.75	05.09	06.27	37.12	-0.05
0873	04	01.74677	01.74677	56.47	48.81	06.42	31.99	-0.03
0973	04	01.51514	01.50515	52.36	46.45	08.07	31.96	-0.03
0874	04	03.22097	03.21597	99.71	91.55	06.35	33.66	-0.06
1075	04	04.69593	04.69093	03.08	02.24	09.78	35.47	-0.10
0974	04	03.05022	03.04523	83.06	76.01	08.06	33.70	-0.06
0877	04	07.99029	07.93532	02.23	05.07	06.20	38.86	-0.05
0975	04	04.57912	04.56912	16.83	28.31	07.99	35.38	-0.08
0972	04	00.00000	00.00000	20.63	19.40	08.14	30.22	00.02
1073	04	01.48228	01.47729	03.36	03.27	09.86	32.00	-0.03
1073	01	05.05490	05.04490	01.36	01.41	09.86	32.00	-0.03
0573	01	03.82120	03.81620	01.23	00.81	01.13	31.81	-0.04
0872	04	00.43180	00.31688	03.11	07.55	06.35	30.23	00.01
0000	00	00.00000	00.00000	00.00	00.00	00.00	00.00	00.00
0000	00	00.00000	00.00000	00.00	00.00	00.00	00.00	00.00
